date,Sentimen score
2015/11/27,0.220256431
2015/11/30,0.573257254
2015/12/1,0.835256729
2015/12/2,0.457776563
2015/12/3,0.794760099
2015/12/4,0.874930703
2015/12/7,0.739260514
2015/12/8,0.29903325
2015/12/9,0.941985585
2015/12/10,0.59575338
2015/12/11,0.624137871
2015/12/14,0.621463613
2015/12/15,0.240218176
2015/12/16,0.12082259
2015/12/17,0.341218795
2015/12/18,0.883394656
2015/12/21,0.699421179
2015/12/22,0.76821287
2015/12/23,0.590113425
2015/12/24,0.479218592
2015/12/28,0.591465395
2015/12/29,0.746257921
2015/12/30,0.50308262
2015/12/31,0.748911657
2016/1/4,0.771543439
2016/1/5,0.383668859
2016/1/6,0.751003811
2016/1/7,0.848970083
2016/1/8,0.532243199
2016/1/11,0.32764717
2016/1/12,0.619300727
2016/1/13,0.788329752
2016/1/14,0.75368952
2016/1/15,0.640095176
2016/1/19,0.640061458
2016/1/20,0.635133874
2016/1/21,0.150861533
2016/1/22,0.360531772
2016/1/25,0.840828226
2016/1/26,0.877461045
2016/1/27,0.809659577
2016/1/28,0.646130662
2016/1/29,0.716472549
2016/2/1,0.782195251
2016/2/2,0.54061522
2016/2/3,0.449802818
2016/2/4,0.6743445
2016/2/5,0.677464948
2016/2/8,0.518748642
2016/2/9,0.653230899
2016/2/10,0.900269885
2016/2/11,0.779973608
2016/2/12,0.839234216
2016/2/16,0.761294756
2016/2/17,0.925417154
2016/2/18,0.773234143
2016/2/19,0.917886599
2016/2/22,0.65772818
2016/2/23,0.867052716
2016/2/24,0.790851135
2016/2/25,0.788026088
2016/2/26,0.657364299
2016/2/29,0.820021472
2016/3/1,0.728354541
2016/3/2,0.933037509
2016/3/3,0.811337974
2016/3/4,0.730593338
2016/3/7,0.728221448
2016/3/8,0.856372489
2016/3/9,0.601990013
2016/3/10,0.710389773
2016/3/11,0.624193744
2016/3/14,0.730272522
2016/3/15,0.689844092
2016/3/16,0.637702166
2016/3/17,0.859989838
2016/3/18,0.763207222
2016/3/21,0.657058198
2016/3/22,0.696622518
2016/3/23,0.669188478
2016/3/24,0.648695498
2016/3/28,0.641940395
2016/3/29,0.766052761
2016/3/30,0.747716247
2016/3/31,0.741995878
